"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
143.00,"386","NASA","Spectro-radiometer","MLS","Microwave limb sounder",
144.00,"387","NASA","Spectro-radiometer","MLS (EOS-Aura)","Microwave limb sounder (EOS-Aura)",
145.00,"389","NASA","Spectro-radiometer","MODIS","Moderate-resolution imaging spectroradiometer",
146.00,"393","NASA","Gravity","HAIRS","High accuracy inter-satellite ranging system",
147.00,"394","NASA","Total and profile ozone","OMI","Ozone measuring instrument",
148.00,"395","NASA","Radiometer","Atmospheric corrector","Atmospheric corrector",
149.00,"396","NASA","Radiometer","Hyperion","Hyperspectral imager",
150.00,"399","NASA","Spectro-radiometer","SAGE I","Stratospheric aerosol and gas experiment-I",
151.00,"400","NASA","Spectro-radiometer","SAGE II","Stratospheric aerosol and gas experiment-II",
152.00,"401","NASA","Spectro-radiometer","SAGE III","Stratospheric aerosol and gas experiment-III",
153.00,"402","NASA","Spectro-radiometer","SAMS","Stratospheric and mesospheric sounder",
154.00,"403","NASA","Spectro-radiometer","SAM-II","Stratospheric aerosol measurement-II",
155.00,"404","NASA","Spectro-radiometer","IRIS","Infrared interferometer spectrometer",
156.00,"405","NASA","Atmospheric temperature and humidity sounder","GIFTS","Geosynchronous imaging Fourier transform spectrometer",
157.00,"420","NASA","Spectrometer","AIRS","Atmospheric Infrared sounder",
158.00,"426","NASA","Spectrometer","SOLSTICE","Solar stellar irradiance comparison experiment",
159.00,"430","NASA","Spectrometer","TES","Tropospheric emission spectrometer",
160.00,"431","NASA","Spectrometer","TOMS","Total ozone mapping spectrometer",
161.00,"432","NASA","Spectrometer","OCO","Orbiting carbon observatory",
162.00,"450","JAXA","Communications","ADEOS Comms","Communications package for ADEOS",
163.00,"451","JAXA","Communications","DCS (JAXA)","Data-collection system (JAXA)",
164.00,"453","NASDA","Communications","GMS Comms","Communications package on GMS",
165.00,"454","NASDA","Communications","JERS-1 Comms","Communications package for JERS-1",
166.00,"460","NASDA","Lidar","RIS","Retroreflector in space",
167.00,"461","NASDA","Radar","PR","Precipitation radar",
168.00,"462","NASDA","Imaging microwave radar","SAR","Synthetic aperture radar",
169.00,"470","JAXA","Imaging microwave radar","PALSAR","Phased array type L-band synthetic aperture radar",
170.00,"478","JAXA","Imaging multi-spectral radiometer (passive microwave)","AMSR2","Advanced Microwave Scanning Radiometer 2",
171.00,"479","JAXA","Imaging multi-spectral radiometer (passive microwave)","AMSR-E","Advanced microwave scanning radiometer - EOS",
172.00,"480","JAXA","High-resolution optical imager","PRISM (ALOS)","Panchromatic remote-sensing instrument for stereo mapping",
173.00,"481","JAXA","Radiometer","AMSR","Advanced microwave scanning radiometer",
174.00,"482","NASDA","High-resolution optical imager","AVNIR","Advanced visible and near infrared radiometer",
175.00,"483","JAXA","High-resolution optical imager","AVNIR-2","Advanced visible and near infrared radiometer type 2",
176.00,"484","JAXA","Imager","GLI","Global imager",
177.00,"485","NASDA","Radiometer","MESSR","Multispectral electronic self scanning radiometer",
178.00,"486","NASDA","Radiometer","MSR","Microwave scanning radiometer",
179.00,"487","NASDA","Radiometer","OCTS","Ocean colour and temperature scanner",
180.00,"488","NASDA","Radiometer","OPS","Optical sensor",
181.00,"489","NASDA","Radiometer","VISSR (GMS-5)","Visible and infrared spin scan radiometer (GMS-5)",
182.00,"490","NASDA","Radiometer","VTIR","Visible and thermal infrared radiometer",
183.00,"510","NASDA","Spectrometer","ILAS-I","Improved limb atmospheric spectrometer",
184.00,"511","NASDA","Spectrometer","ILAS-II","Improved limb atmospheric spectrometer",
185.00,"512","NASDA","Spectrometer","IMG","Inferometric monitor of greenhouse gases",
186.00,"514","NASDA","Space environment","SEM","Space environment monitor (NASDA)",
187.00,"515","JAXA","Total and profile ozone","SOFIS","Solar occultation Fourier transform spectrometer for inclined orbit satellite",
188.00,"516","JAXA","Spectrometer","TANSO-FTS","Thermal and Near infrared Sensor for carbon Observations (TANSO) Fourier Transform Spectrometer (FTS)",
189.00,"517","JAXA","Imager","TANSO-CAI","Thermal and Near infrared Sensor for carbon Observations (TANSO) Cloud and Aerosol Imager (CAI)",
190.00,"518","JAXA","Cloud and precipitation radar","DPR","Dual-frequency precipitation radar",
191.00,"519","NASA","MW imaging/sounding radiometer, conical scanning","GMI","GPM microwave imager",
192.00,"530","Spire","GNSS occultation sounder","SGNOS-A","Spire global navigation satellite system occultation sounder A",
193.00,"531","Spire","GNSS occultation sounder","SGNOS-B","Spire global navigation satellite system occultation sounder B",
194.00,"532","Spire","GNSS occultation sounder","SGNOS-C","Spire global navigation satellite system occultation sounder C",
195.00,"533","Spire","GNSS occultation sounder","SGNOS-D","Spire global navigation satellite system occultation sounder D",
196.00,"540","NOAA","Communications","DCS (NOAA)","Data-collection system (NOAA)",
197.00,"541","NOAA","Communications","GOES Comms","Communications package on GOES",
198.00,"542","NOAA","Communications","LANDSAT Comms","Communications package for LANDSAT",
199.00,"543","NOAA","Communications","NOAA Comms","Communications package for NOAA",
200.00,"544","NOAA","Communications","S&R (GOES)","Search and rescue",
201.00,"545","NOAA","Communications","S&R (NOAA)","Search and rescue",
202.00,"546","NOAA","Communications","WEFAX","Weather facsimile",
203.00,"547","NOAA","Spectrometer","SEM (GOES)","Space environment monitor",
204.00,"550","NOAA","Magnetic field","SSM","Special sensor magnetometer",
205.00,"551","NOAA","Magnetic field","SSJ/4","Special sensor precipitating plasma monitor",
206.00,"552","NOAA","Space environment","SSIES-2","Special sensor ionospheric plasma drift/scintillation meter",
207.00,"553","NOAA","Space environment","SSB/X-2","Special sensor gamma ray particle detector",
208.00,"570","NOAA","Radiometer","AMSU-A","Advanced microwave sounding unit-A",
209.00,"574","NOAA","Radiometer","AMSU-B","Advanced microwave sounding unit-B",
210.00,"580","NOAA","Radiometer","ATOVS (HIRS/3 + AMSU + AVHRR/3)","Advanced TIROS operational vertical sounder",
