CodeFigure,Meaning_fr,ChemicalFormula,Status
30230,Plomb 214,Pb-214,Operational
30231,Astate 217,At-217,Operational
30232,Radon 219,Rn-219,Operational
30233,Radon 220,Rn-220,Operational
30234,Radon 222,Rn-222,Operational
30235,Francium 221,Fr-221,Operational
30236,Francium 223,Fr-223,Operational
30237,Radium 223,Ra-223,Operational
30238,Radium 224,Ra-224,Operational
30239,Radium 225,Ra-225,Operational
30240,Radium 226,Ra-226,Operational
30241,Radium 228,Ra-228,Operational
30242,Actinium 225,Ac-225,Operational
30243,Actinium 227,Ac-227,Operational
30244,Actinium 228,Ac-228,Operational
30245,Thorium 227,Th-227,Operational
30246,Thorium 228,Th-228,Operational
30247,Thorium 229,Th-229,Operational
30248,Thorium 230,Th-230,Operational
30249,Thorium 231,Th-231,Operational
30250,Thorium 232,Th-232,Operational
30251,Thorium 234,Th-234,Operational
30252,Protactinium 231,Pa-231,Operational
30253,Protactinium 233,Pa-233,Operational
30254,Protactinium 234 métastable,Pa-234m,Operational
30255,Uranium 232,U-232,Operational
30256,Uranium 233,U-233,Operational
30257,Uranium 234,U-234,Operational
30258,Uranium 235,U-235,Operational
30259,Uranium 236,U-236,Operational
30260,Uranium 237,U-237,Operational
30261,Uranium 238,U-238,Operational
30262,Plutonium 236,Pu-236,Operational
30263,Plutonium 238,Pu-238,Operational
30264,Plutonium 239,Pu-239,Operational
30265,Plutonium 240,Pu-240,Operational
30266,Plutonium 241,Pu-241,Operational
30267,Plutonium 242,Pu-242,Operational
30268,Plutonium 244,Pu-244,Operational
30269,Neptunium 237,Np-237,Operational
30270,Neptunium 238,Np-238,Operational
30271,Neptunium 239,Np-239,Operational
30272,Américium 241,Am-241,Operational
30273,Américium 242,Am-242,Operational
30274,Américium 242 métastable,Am-242m,Operational
30275,Américium 243,Am-243,Operational
30276,Curium 242,Cm-242,Operational
30277,Curium 243,Cm-243,Operational
30278,Curium 244,Cm-244,Operational
30279,Curium 245,Cm-245,Operational
30280,Curium 246,Cm-246,Operational
30281,Curium 247,Cm-247,Operational
30282,Curium 248,Cm-248,Operational
30283,Curium 243/244,Cm-243244,Operational
30284,Plutonium 238/Américium 241,Pu-238Am-241,Operational
30285,Plutonium 239/240,Pu-239240,Operational
30286,Berkélium 249,Bk-249,Operational
30287,Californium 249,Cf-249,Operational
30288,Californium 250,Cf-250,Operational
30289,Californium 252,Cf-252,Operational
30290,Somme des particules d'aérosols,SumAer,Operational
30291,Somme de l'iode,SumIod,Operational
30292,Somme des gaz rares,SumNG,Operational
30293,Gaz activateur,ActGas,Operational
30294,Équivalent Cs-137,EquCs137,Operational
30295,Carbone 13,C-13,Operational
30296,Plomb,Pb,Operational
30297-39999,En réserve,,Operational
40000,Oxygène singulet sigma (dioxygène (singulet sigma)),O2(¹Σg+),Operational
40001,Oxygène singulet delta (dioxygène (singulet delta)),O2(¹Δg),Operational
40002,Atome d'oxygène singulet excité,O(¹D),Operational
40003,Atome d'oxygène triplet à l'état fondamental,O(³P),Operational
40004-59999,En réserve,,Operational
60000,Radicaux d'oxydes d'hydrogène (OH+HO2),HOx•,Operational
60001,Radicaux peroxydes inorganiques et organiques totaux (HO2 + RO2•),ROO•,Operational
60002,Ozone passif,,Operational
60003,Oxyde d'azote NOx exprimé sous forme d'azote,NOx,Operational
60004,Tous les oxydes d'azote NOy exprimés sous forme d'azote,NOy,Operational
60005,Chlore inorganique total,Cly,Operational
60006,Brome inorganique total,Bry,Operational
60007,"Chlore inorganique total sauf HCl, ClONO2: ClOx",,Operational
60008,"Brome inorganique total sauf HBr, BrONO2: BrOx",,Operational
60009,Alcanes regroupés,,Operational
60010,Alcènes regroupés,,Operational
60011,Composantes aromatiques regroupées,,Operational
60012,Terpènes regroupés,,Operational
60013,Composés organiques volatils insaturés exprimés sous forme de carbone,NMVOC,Operational
60014,Composés organiques volatils insaturés anthropiques exprimés sous forme de carbone,aNMVOC,Operational
60015,Composés organiques volatils insaturés biogéniques exprimés sous forme de carbone,bNMVOC,Operational
60016,Hydrocarbures oxygénés regroupés,OVOC,Operational
60017,Oxyde d'azote (NOx) exprimé sous forme de dioxyde d'azote (NO2),NOx,Operational
60018,Aldéhydes organiques,RCHO,Operational
60019,Peroxydes organiques,ROOH,Operational
60020,Nitrates organiques,RNO3,Operational
60021,Éthers,ROR',Operational
60022,Amines,"NRR'R""",Operational
60023,Cétones,RC(O)R',Operational
60024,Composés dicarbonylés insaturés,RC(O)CH2C(O)R',Operational
60025,Composés hydroxydicarbonylés insaturés,RC(O)CHOHC(O)R',Operational
60026,Hydroxycétones,RC(OH)C(O)R',Operational
60027,Oxydes,Ox,Operational
60028-61999,En réserve,,Operational
62000,Aérosols totaux,,Operational
62001,Dépôt sec de poussière,,Operational
62002,Eau dans l'air ambiant,,Operational
62003,Dépôt sec d'ammonium,,Operational
62004,Dépôt sec de nitrate,,Operational
